normalized_vi,method,predicted_clusters_column,n_predicted_clusters,n_predicted_cluster_samples,n_ignored_predicted_clusters,n_true_cluster_samples,n_ignored_true_clusters,n_vi_cluster_samples,normalized_mutual_info_score,adjusted_rand_score,homogeneity_completeness_v_measure,adjusted_mutual_info_score
0.0425,reduced_t-sne_euclidean_2_protbert,reduced_t-sne_euclidean_2_protbert_label,6,1070,3,1073,0,1070,0.9182581274970054,0.9096755060111824,0.9182581274970052,0.9167523692668756
0.0482,mds,mds_label,6,1028,45,1073,0,1028,0.9013074952526486,0.84625641061653,0.9013074952526486,0.8998500538470962
0.0646,reduced_t-sne_euclidean_2_CARP,reduced_t-sne_euclidean_2_CARP_label,9,1067,6,1073,0,1067,0.8847599987418013,0.8661039420129018,0.8847599987418013,0.881856371342698
0.0655,reduced_t-sne_cosine_2_t33-650M-mean_All,reduced_t-sne_cosine_2_t33-650M-mean_All_label,9,1071,2,1073,0,1071,0.8826581856095576,0.8888031123450488,0.8826581856095574,0.8796924812880147
0.0734,reduced_t-sne_cosine_2_t33-650M-attentionmean_All,reduced_t-sne_cosine_2_t33-650M-attentionmean_All_label,7,1071,2,1073,0,1071,0.8635506448216509,0.8690664233573073,0.8635506448216509,0.8607139663219219
0.0772,umap,umap_label,7,1073,0,1073,0,1073,0.8502285614236487,0.8070371620349175,0.8502285614236486,0.8471420121730056
0.0794,t-sne,t-sne_label,7,1070,3,1073,0,1070,0.846107550813205,0.7810696297277377,0.8461075508132048,0.8433322601269714
0.0968,reduced_t-sne_cosine_2_t36-3B-attentionmean_All,reduced_t-sne_cosine_2_t36-3B-attentionmean_All_label,8,1072,1,1073,0,1072,0.8220363720275815,0.8206262891650963,0.8220363720275816,0.8179341146540469
0.0973,reduced_t-sne_cosine_2_t36-3B-mean_All,reduced_t-sne_cosine_2_t36-3B-mean_All_label,8,1073,0,1073,0,1073,0.8210926548969142,0.8196189769749422,0.8210926548969142,0.8169714342347353
0.1049,reduced_t-sne_cosine_2_t33-650M-sitemean_All,reduced_t-sne_cosine_2_t33-650M-sitemean_All_label,7,1072,1,1073,0,1072,0.7987323027863678,0.7466841456868281,0.7987323027863678,0.7945646979188269
0.1203,genetic,genetic_label,4,1062,11,1073,0,1062,0.7180776739006413,0.5312940182964647,0.7180776739006413,0.715003067478995
0.1205,pca,pca_label,4,1073,0,1073,0,1073,0.723337193608537,0.5337250003964973,0.723337193608537,0.7197570462971031
0.1207,reduced_mds_cosine_8_t36-3B-sitemean_All,reduced_mds_cosine_8_t36-3B-sitemean_All_label,16,659,414,1073,0,659,0.8218080138568976,0.5988600263901933,0.8218080138568975,0.8155806936704735
0.147,reduced_t-sne_euclidean_2_t33-650M-bos_All,reduced_t-sne_euclidean_2_t33-650M-bos_All_label,5,1070,3,1073,0,1070,0.6990238068642991,0.6378579963867705,0.699023806864299,0.6942298989199562
0.1547,reduced_t-sne_cosine_2_t36-3B-bos_All,reduced_t-sne_cosine_2_t36-3B-bos_All_label,8,1067,6,1073,0,1067,0.7061294663366631,0.6006037864321688,0.7061294663366631,0.6992799953220867
0.1581,reduced_t-sne_euclidean_2_prot5,reduced_t-sne_euclidean_2_prot5_label,8,1070,3,1073,0,1070,0.705568442909259,0.5172266465751966,0.7055684429092589,0.6987765592265822
