normalized_vi,method,predicted_clusters_column,n_predicted_clusters,n_predicted_cluster_samples,n_ignored_predicted_clusters,n_true_cluster_samples,n_ignored_true_clusters,n_vi_cluster_samples,normalized_mutual_info_score,adjusted_rand_score,homogeneity_completeness_v_measure,adjusted_mutual_info_score
0.1259,reduced_t-sne_cosine_4_t48-15B-mean_All,reduced_t-sne_cosine_4_t48-15B-mean_All_label,16,931,142,1073,0,931,0.8046277878777502,0.6305236934902715,0.8046277878777505,0.7961882647647143
0.1261,reduced_t-sne_euclidean_6_prot5,reduced_t-sne_euclidean_6_prot5_label,14,992,81,1073,0,992,0.7957366172754115,0.6334818099988093,0.7957366172754115,0.7886711680131075
0.1265,reduced_umap_cosine_4_t36-3B-mean_All,reduced_umap_cosine_4_t36-3B-mean_All_label,11,1073,0,1073,0,1073,0.7877160281415889,0.6611269382881115,0.7877160281415889,0.7812742797427206
0.1268,reduced_t-sne_euclidean_6_t48-15B-mean_All,reduced_t-sne_euclidean_6_t48-15B-mean_All_label,18,910,163,1073,0,910,0.8120909918099385,0.6364453094294079,0.8120909918099385,0.8028051149541159
0.1271,t36-3B-mean_All,t36-3B-mean_All_label,18,602,471,1073,0,602,0.8242895486316753,0.5836363935893105,0.8242895486316754,0.8157782722057365
0.1275,reduced_umap_euclidean_4_t33-650M-attentionmean_All,reduced_umap_euclidean_4_t33-650M-attentionmean_All_label,12,1073,0,1073,0,1073,0.7906061668607394,0.6279756596416657,0.7906061668607393,0.7838532956924268
0.1276,reduced_t-sne_cosine_2_t33-650M-bos_All,reduced_t-sne_cosine_2_t33-650M-bos_All_label,7,1071,2,1073,0,1071,0.7555845387454022,0.7072856033850683,0.7555845387454022,0.7502286809752635
0.1276,reduced_pca_cosine_2_CARP,reduced_pca_cosine_2_CARP_label,6,992,81,1073,0,992,0.7233568618635922,0.5463123145184514,0.723356861863592,0.7180186796298551
0.1276,reduced_pca_euclidean_2_CARP,reduced_pca_euclidean_2_CARP_label,6,992,81,1073,0,992,0.7233568618635922,0.5463123145184514,0.723356861863592,0.7180186796298551
0.128,reduced_umap_euclidean_10_t33-650M-attentionmean_All,reduced_umap_euclidean_10_t33-650M-attentionmean_All_label,13,1064,9,1073,0,1064,0.7921347322174187,0.6248357613244491,0.7921347322174186,0.7849735711216462
0.1286,reduced_mds_euclidean_4_prot5,reduced_mds_euclidean_4_prot5_label,15,721,352,1073,0,721,0.8027124665905695,0.5809386986369842,0.8027124665905695,0.794911526945539
0.1286,reduced_mds_euclidean_10_t33-650M-attentionmean_All,reduced_mds_euclidean_10_t33-650M-attentionmean_All_label,16,499,574,1073,0,499,0.822701971886568,0.5845890779848414,0.822701971886568,0.8145597513122522
0.1286,reduced_mds_cosine_10_t33-650M-attentionmean_All,reduced_mds_cosine_10_t33-650M-attentionmean_All_label,16,499,574,1073,0,499,0.822701971886568,0.5845890779848414,0.822701971886568,0.8145597513122522
0.1286,reduced_mds_cosine_4_prot5,reduced_mds_cosine_4_prot5_label,15,721,352,1073,0,721,0.8027124665905695,0.5809386986369842,0.8027124665905695,0.794911526945539
0.1291,reduced_mds_cosine_10_t33-650M-mean_All,reduced_mds_cosine_10_t33-650M-mean_All_label,16,491,582,1073,0,491,0.8234482627395638,0.588252148536546,0.823448262739564,0.8147822750435405
0.1291,reduced_mds_euclidean_10_t33-650M-mean_All,reduced_mds_euclidean_10_t33-650M-mean_All_label,16,491,582,1073,0,491,0.8234482627395638,0.588252148536546,0.823448262739564,0.8147822750435405
0.1293,reduced_umap_euclidean_10_protbert,reduced_umap_euclidean_10_protbert_label,16,1073,0,1073,0,1073,0.7961044572665124,0.6044735633674316,0.7961044572665122,0.7880503493986705
0.1293,reduced_t-sne_euclidean_1_CARP,reduced_t-sne_euclidean_1_CARP_label,21,1061,12,1073,0,1061,0.8013838023186133,0.7067750572580042,0.8013838023186133,0.7916509130848942
0.1294,reduced_t-sne_cosine_1_t33-650M-attentionmean_All,reduced_t-sne_cosine_1_t33-650M-attentionmean_All_label,5,1069,4,1073,0,1069,0.7338110333859861,0.6401847781836136,0.733811033385986,0.7293091891204168
0.1296,reduced_t-sne_euclidean_1_t36-3B-bos_All,reduced_t-sne_euclidean_1_t36-3B-bos_All_label,12,1064,9,1073,0,1064,0.7779643999243254,0.7762838491506372,0.7779643999243255,0.7706852514507121
0.1296,reduced_umap_euclidean_2_t48-15B-sitemean_All,reduced_umap_euclidean_2_t48-15B-sitemean_All_label,16,1073,0,1073,0,1073,0.797214906279647,0.6480170193414465,0.797214906279647,0.7891897953122515
0.1298,reduced_umap_euclidean_10_t36-3B-mean_All,reduced_umap_euclidean_10_t36-3B-mean_All_label,12,1073,0,1073,0,1073,0.7844138060888323,0.6495676332692534,0.7844138060888324,0.7774743598196009
0.1299,reduced_mds_euclidean_8_t33-650M-attentionmean_All,reduced_mds_euclidean_8_t33-650M-attentionmean_All_label,16,482,591,1073,0,482,0.8224104465431608,0.5958525096725557,0.822410446543161,0.8139632892296634
0.1299,reduced_mds_cosine_8_t33-650M-attentionmean_All,reduced_mds_cosine_8_t33-650M-attentionmean_All_label,16,482,591,1073,0,482,0.8224104465431608,0.5958525096725557,0.822410446543161,0.8139632892296634
0.131,reduced_umap_euclidean_6_t36-3B-mean_All,reduced_umap_euclidean_6_t36-3B-mean_All_label,12,1073,0,1073,0,1073,0.7826253883364828,0.6462118485011875,0.7826253883364829,0.7756295313270839
0.1311,t36-3B-attentionmean_All,t36-3B-attentionmean_All_label,19,625,448,1073,0,625,0.8185500541972007,0.5770074626303896,0.8185500541972008,0.8096459578784254
0.1314,reduced_umap_euclidean_8_t36-3B-attentionmean_All,reduced_umap_euclidean_8_t36-3B-attentionmean_All_label,11,1073,0,1073,0,1073,0.7799635261308036,0.6547970273511029,0.7799635261308036,0.7732923683676918
0.1314,reduced_umap_euclidean_10_t36-3B-attentionmean_All,reduced_umap_euclidean_10_t36-3B-attentionmean_All_label,11,1073,0,1073,0,1073,0.7799635261308036,0.6547970273511029,0.7799635261308036,0.7732923683676918
0.1316,reduced_umap_cosine_4_t36-3B-attentionmean_All,reduced_umap_cosine_4_t36-3B-attentionmean_All_label,11,1073,0,1073,0,1073,0.7777798365273263,0.643103549855684,0.7777798365273263,0.7710400322754204
0.1317,reduced_mds_euclidean_8_t33-650M-mean_All,reduced_mds_euclidean_8_t33-650M-mean_All_label,16,487,586,1073,0,487,0.8201892830234541,0.585112550425727,0.820189283023454,0.8117710031991442
0.1317,reduced_mds_cosine_8_t33-650M-mean_All,reduced_mds_cosine_8_t33-650M-mean_All_label,16,487,586,1073,0,487,0.8201892830234541,0.585112550425727,0.820189283023454,0.8117710031991442
0.1319,reduced_umap_cosine_2_t48-15B-sitemean_All,reduced_umap_cosine_2_t48-15B-sitemean_All_label,20,1073,0,1073,0,1073,0.7992132943638278,0.6573118068725861,0.7992132943638276,0.7898624151217479
0.132,reduced_umap_cosine_6_t33-650M-attentionmean_All,reduced_umap_cosine_6_t33-650M-attentionmean_All_label,18,1056,17,1073,0,1056,0.7990840844755194,0.5843765869555175,0.7990840844755194,0.7903253657748843
0.1322,reduced_mds_cosine_8_t33-650M-sitemean_All,reduced_mds_cosine_8_t33-650M-sitemean_All_label,18,629,444,1073,0,629,0.8093626062579207,0.5853209265948962,0.8093626062579207,0.8014421551835051
0.1322,reduced_mds_euclidean_8_t33-650M-sitemean_All,reduced_mds_euclidean_8_t33-650M-sitemean_All_label,18,629,444,1073,0,629,0.8093626062579207,0.5853209265948962,0.8093626062579207,0.8014421551835051
0.1324,reduced_t-sne_euclidean_4_t48-15B-mean_All,reduced_t-sne_euclidean_4_t48-15B-mean_All_label,20,906,167,1073,0,906,0.8086028102292396,0.6218315312752282,0.8086028102292397,0.798605137487408
0.1324,reduced_mds_euclidean_6_prot5,reduced_mds_euclidean_6_prot5_label,17,666,407,1073,0,666,0.8051966508946055,0.5855022111199992,0.8051966508946056,0.7944588004594019
0.1324,reduced_mds_cosine_6_prot5,reduced_mds_cosine_6_prot5_label,17,666,407,1073,0,666,0.8051966508946055,0.5855022111199992,0.8051966508946056,0.7944588004594019
0.1325,reduced_t-sne_cosine_1_t33-650M-bos_All,reduced_t-sne_cosine_1_t33-650M-bos_All_label,15,1067,6,1073,0,1067,0.7807666994171946,0.7636444145674594,0.7807666994171945,0.7723706709049344
0.1328,reduced_mds_euclidean_8_t36-3B-sitemean_All,reduced_mds_euclidean_8_t36-3B-sitemean_All_label,18,597,476,1073,0,597,0.8124212745285029,0.5876805374306561,0.8124212745285029,0.8042928659174811
0.1328,reduced_mds_cosine_8_t36-3B-sitemean_All,reduced_mds_cosine_8_t36-3B-sitemean_All_label,18,597,476,1073,0,597,0.8124212745285029,0.5876805374306561,0.8124212745285029,0.8042928659174811
0.1332,reduced_umap_euclidean_6_t36-3B-attentionmean_All,reduced_umap_euclidean_6_t36-3B-attentionmean_All_label,11,1073,0,1073,0,1073,0.7769410584432622,0.6532157190664428,0.7769410584432623,0.770178172859019
0.1339,reduced_umap_cosine_4_t33-650M-attentionmean_All,reduced_umap_cosine_4_t33-650M-attentionmean_All_label,17,1073,0,1073,0,1073,0.7931859170832286,0.5795130630559027,0.7931859170832286,0.7846690287226094
0.1346,reduced_mds_cosine_2_t48-15B-sitemean_All,reduced_mds_cosine_2_t48-15B-sitemean_All_label,4,1065,8,1073,0,1065,0.6891717752268652,0.5234623584031045,0.6891717752268652,0.6851065757026337
0.1346,reduced_mds_euclidean_2_t48-15B-sitemean_All,reduced_mds_euclidean_2_t48-15B-sitemean_All_label,4,1065,8,1073,0,1065,0.6891717752268652,0.5234623584031045,0.6891717752268652,0.6851065757026337
0.1347,reduced_mds_euclidean_8_t48-15B-mean_All,reduced_mds_euclidean_8_t48-15B-mean_All_label,19,553,520,1073,0,553,0.8168728909984483,0.5815174158814741,0.8168728909984482,0.8065540474210457
0.1347,reduced_mds_cosine_8_t48-15B-mean_All,reduced_mds_cosine_8_t48-15B-mean_All_label,19,553,520,1073,0,553,0.8168728909984483,0.5815174158814741,0.8168728909984482,0.8065540474210457
0.1351,reduced_t-sne_euclidean_10_t33-650M-mean_All,reduced_t-sne_euclidean_10_t33-650M-mean_All_label,19,921,152,1073,0,921,0.7925817374074031,0.6279192026701967,0.792581737407403,0.7830332230545132
0.1358,reduced_t-sne_cosine_6_t36-3B-sitemean_All,reduced_t-sne_cosine_6_t36-3B-sitemean_All_label,18,981,92,1073,0,981,0.7870831896708448,0.6164714844026019,0.7870831896708448,0.7782520641498689
0.136,reduced_mds_cosine_8_CARP,reduced_mds_cosine_8_CARP_label,21,624,449,1073,0,624,0.8069524919969541,0.6485929153095101,0.806952491996954,0.7961579054925465
0.136,reduced_mds_euclidean_8_CARP,reduced_mds_euclidean_8_CARP_label,21,624,449,1073,0,624,0.8069524919969541,0.6485929153095101,0.806952491996954,0.7961579054925465
0.1371,reduced_t-sne_euclidean_8_prot5,reduced_t-sne_euclidean_8_prot5_label,12,1007,66,1073,0,1007,0.7693995436196321,0.6023552000155217,0.769399543619632,0.7623605928142253
0.1375,reduced_umap_euclidean_8_t33-650M-sitemean_All,reduced_umap_euclidean_8_t33-650M-sitemean_All_label,15,1066,7,1073,0,1066,0.7826470459592283,0.623577916360832,0.7826470459592284,0.7744110627795575
0.1375,reduced_t-sne_euclidean_2_t48-15B-bos_All,reduced_t-sne_euclidean_2_t48-15B-bos_All_label,4,1060,13,1073,0,1060,0.6899280397388192,0.5065332388344062,0.6899280397388192,0.6855453709659707
0.1378,reduced_t-sne_euclidean_10_t36-3B-attentionmean_All,reduced_t-sne_euclidean_10_t36-3B-attentionmean_All_label,18,930,143,1073,0,930,0.786398610124656,0.6340757266714621,0.786398610124656,0.7780643837083192
0.1387,reduced_mds_cosine_10_t33-650M-sitemean_All,reduced_mds_cosine_10_t33-650M-sitemean_All_label,18,565,508,1073,0,565,0.8091783149918726,0.5744177320700508,0.8091783149918726,0.7997506158580355
0.1387,reduced_mds_euclidean_10_t33-650M-sitemean_All,reduced_mds_euclidean_10_t33-650M-sitemean_All_label,18,565,508,1073,0,565,0.8091783149918726,0.5744177320700508,0.8091783149918726,0.7997506158580355
0.1391,reduced_umap_cosine_2_t48-15B-mean_All,reduced_umap_cosine_2_t48-15B-mean_All_label,18,1066,7,1073,0,1066,0.7905916031392145,0.5336167236843735,0.7905916031392145,0.7815875453929207
0.1393,reduced_mds_euclidean_6_t33-650M-attentionmean_All,reduced_mds_euclidean_6_t33-650M-attentionmean_All_label,17,537,536,1073,0,537,0.8081201339014585,0.5687025828960183,0.8081201339014585,0.7990359241120845
0.1393,reduced_mds_cosine_6_t33-650M-attentionmean_All,reduced_mds_cosine_6_t33-650M-attentionmean_All_label,17,537,536,1073,0,537,0.8081201339014585,0.5687025828960183,0.8081201339014585,0.7990359241120845
0.1397,reduced_t-sne_cosine_6_t33-650M-mean_All,reduced_t-sne_cosine_6_t33-650M-mean_All_label,19,952,121,1073,0,952,0.7876213126535956,0.5993954306617161,0.7876213126535956,0.778154440802686
0.1399,reduced_mds_euclidean_6_CARP,reduced_mds_euclidean_6_CARP_label,20,679,394,1073,0,679,0.7938087235989373,0.6581939782053399,0.7938087235989373,0.7848133455326762
0.1399,reduced_mds_cosine_6_CARP,reduced_mds_cosine_6_CARP_label,20,679,394,1073,0,679,0.7938087235989373,0.6581939782053399,0.7938087235989373,0.7848133455326762
0.1404,reduced_mds_cosine_6_t36-3B-sitemean_All,reduced_mds_cosine_6_t36-3B-sitemean_All_label,18,594,479,1073,0,594,0.8027846804089043,0.5724707524531613,0.8027846804089043,0.7942468562813066
0.1404,reduced_t-sne_euclidean_4_t36-3B-bos_All,reduced_t-sne_euclidean_4_t36-3B-bos_All_label,14,1043,30,1073,0,1043,0.7611132718496006,0.7039927595794582,0.7611132718496006,0.7526119985644206
0.1404,reduced_mds_euclidean_6_t36-3B-sitemean_All,reduced_mds_euclidean_6_t36-3B-sitemean_All_label,18,594,479,1073,0,594,0.8027846804089043,0.5724707524531613,0.8027846804089043,0.7942468562813066
0.1406,reduced_pca_cosine_10_t36-3B-sitemean_All,reduced_pca_cosine_10_t36-3B-sitemean_All_label,21,635,438,1073,0,635,0.8062138237568974,0.5587527535102784,0.8062138237568975,0.7957909845797428
0.1406,reduced_pca_euclidean_10_t36-3B-sitemean_All,reduced_pca_euclidean_10_t36-3B-sitemean_All_label,21,635,438,1073,0,635,0.8062138237568974,0.5587527535102784,0.8062138237568975,0.7957909845797428
0.1408,reduced_umap_euclidean_6_protbert,reduced_umap_euclidean_6_protbert_label,16,1073,0,1073,0,1073,0.7792916480485091,0.5672250698219922,0.7792916480485091,0.7705901740811666
0.141,reduced_t-sne_euclidean_1_t36-3B-sitemean_All,reduced_t-sne_euclidean_1_t36-3B-sitemean_All_label,7,1065,8,1073,0,1065,0.7288331891522575,0.7152439083082027,0.7288331891522575,0.7231757098095349
0.1412,reduced_umap_cosine_2_t36-3B-attentionmean_All,reduced_umap_cosine_2_t36-3B-attentionmean_All_label,15,1065,8,1073,0,1065,0.7766006329229994,0.6408559237959662,0.7766006329229994,0.7680800585559601
0.1412,prot5,prot5_label,20,716,357,1073,0,716,0.8000693704322529,0.5517077621627013,0.800069370432253,0.791097747509022
0.142,reduced_umap_euclidean_4_t33-650M-mean_All,reduced_umap_euclidean_4_t33-650M-mean_All_label,10,1073,0,1073,0,1073,0.7564446855330395,0.5800266355111465,0.7564446855330395,0.7495316194198779
0.1429,reduced_t-sne_cosine_4_t36-3B-attentionmean_All,reduced_t-sne_cosine_4_t36-3B-attentionmean_All_label,18,970,103,1073,0,970,0.7785290469550332,0.6123124841660369,0.7785290469550332,0.7700066888237229
0.1431,reduced_umap_euclidean_6_t33-650M-attentionmean_All,reduced_umap_euclidean_6_t33-650M-attentionmean_All_label,15,1073,0,1073,0,1073,0.7758556557657338,0.5709949253222442,0.7758556557657338,0.7674104189224067
0.1436,reduced_mds_cosine_6_t33-650M-sitemean_All,reduced_mds_cosine_6_t33-650M-sitemean_All_label,19,603,470,1073,0,603,0.8011635501816814,0.5517946753042019,0.8011635501816813,0.7923240822465193
0.1436,reduced_mds_euclidean_6_t33-650M-sitemean_All,reduced_mds_euclidean_6_t33-650M-sitemean_All_label,19,603,470,1073,0,603,0.8011635501816814,0.5517946753042019,0.8011635501816813,0.7923240822465193
0.1436,reduced_t-sne_cosine_4_t36-3B-sitemean_All,reduced_t-sne_cosine_4_t36-3B-sitemean_All_label,22,961,112,1073,0,961,0.7884127868410468,0.6024720687064722,0.7884127868410469,0.7781252955750173
0.1437,reduced_umap_cosine_6_t36-3B-sitemean_All,reduced_umap_cosine_6_t36-3B-sitemean_All_label,15,1067,6,1073,0,1067,0.7703295109751038,0.6267958222339236,0.7703295109751038,0.7616288684521052
0.1443,reduced_umap_cosine_10_protbert,reduced_umap_cosine_10_protbert_label,17,1073,0,1073,0,1073,0.775974357750836,0.5685685543786883,0.775974357750836,0.766751910158357
0.1443,reduced_t-sne_cosine_6_t36-3B-attentionmean_All,reduced_t-sne_cosine_6_t36-3B-attentionmean_All_label,13,979,94,1073,0,979,0.7585141200949894,0.6061800052418264,0.7585141200949892,0.75125708287665
0.1455,reduced_mds_cosine_6_t33-650M-mean_All,reduced_mds_cosine_6_t33-650M-mean_All_label,18,529,544,1073,0,529,0.8032667147897371,0.5481011935226846,0.8032667147897372,0.7933363575250373
0.1455,reduced_mds_euclidean_6_t33-650M-mean_All,reduced_mds_euclidean_6_t33-650M-mean_All_label,18,529,544,1073,0,529,0.8032667147897371,0.5481011935226846,0.8032667147897372,0.7933363575250373
0.1457,reduced_umap_euclidean_4_protbert,reduced_umap_euclidean_4_protbert_label,18,1065,8,1073,0,1065,0.7766867349702957,0.5523792562703946,0.7766867349702958,0.7670324081624578
0.1459,reduced_umap_euclidean_2_t33-650M-attentionmean_All,reduced_umap_euclidean_2_t33-650M-attentionmean_All_label,16,1064,9,1073,0,1064,0.7742339133370397,0.5508712724027766,0.7742339133370397,0.7652600980137818
0.1461,reduced_umap_euclidean_6_t33-650M-sitemean_All,reduced_umap_euclidean_6_t33-650M-sitemean_All_label,16,1066,7,1073,0,1066,0.7718286299538093,0.6036270173004057,0.7718286299538093,0.7627727710687634
0.1465,reduced_t-sne_euclidean_1_prot5,reduced_t-sne_euclidean_1_prot5_label,12,1055,18,1073,0,1055,0.7453046661902795,0.5511335509748833,0.7453046661902796,0.7369621084533187
0.1467,reduced_umap_euclidean_8_t33-650M-attentionmean_All,reduced_umap_euclidean_8_t33-650M-attentionmean_All_label,12,1073,0,1073,0,1073,0.7606038233755373,0.5844558171796523,0.7606038233755373,0.7528949996405719
0.1472,t33-650M-attentionmean_All,t33-650M-attentionmean_All_label,20,575,498,1073,0,575,0.803248425538004,0.53352005737707,0.803248425538004,0.7922561998012517
0.1474,reduced_mds_cosine_6_t48-15B-attentionmean_All,reduced_mds_cosine_6_t48-15B-attentionmean_All_label,19,580,493,1073,0,580,0.7986230846726682,0.5722862049121106,0.7986230846726681,0.786834166881571
0.1474,reduced_mds_euclidean_6_t48-15B-attentionmean_All,reduced_mds_euclidean_6_t48-15B-attentionmean_All_label,19,580,493,1073,0,580,0.7986230846726682,0.5722862049121106,0.7986230846726681,0.786834166881571
0.1475,reduced_t-sne_euclidean_8_t48-15B-mean_All,reduced_t-sne_euclidean_8_t48-15B-mean_All_label,19,915,158,1073,0,915,0.784895964795661,0.5698498536654099,0.784895964795661,0.7739034297126345
0.1477,reduced_pca_euclidean_6_t48-15B-attentionmean_All,reduced_pca_euclidean_6_t48-15B-attentionmean_All_label,19,530,543,1073,0,530,0.8040103743163045,0.5837103475121811,0.8040103743163045,0.7916406732238354
0.1477,reduced_pca_cosine_6_t48-15B-attentionmean_All,reduced_pca_cosine_6_t48-15B-attentionmean_All_label,19,530,543,1073,0,530,0.8040103743163045,0.5837103475121811,0.8040103743163045,0.7916406732238354
0.1483,reduced_umap_cosine_2_t33-650M-mean_All,reduced_umap_cosine_2_t33-650M-mean_All_label,12,1073,0,1073,0,1073,0.7403019329999582,0.6488274227795073,0.7403019329999582,0.7317602104979177
0.149,reduced_umap_euclidean_6_t36-3B-sitemean_All,reduced_umap_euclidean_6_t36-3B-sitemean_All_label,16,1067,6,1073,0,1067,0.7641802459321495,0.6124673243036912,0.7641802459321495,0.7548369485557584
0.1492,reduced_t-sne_cosine_6_t33-650M-attentionmean_All,reduced_t-sne_cosine_6_t33-650M-attentionmean_All_label,20,944,129,1073,0,944,0.7762485206351419,0.570332566670274,0.7762485206351419,0.7654906972090751
0.1498,reduced_t-sne_euclidean_1_t33-650M-bos_All,reduced_t-sne_euclidean_1_t33-650M-bos_All_label,7,1068,5,1073,0,1068,0.7063838053051594,0.6406932492396102,0.7063838053051595,0.6999919949978529
0.1499,reduced_pca_cosine_4_t48-15B-sitemean_All,reduced_pca_cosine_4_t48-15B-sitemean_All_label,20,609,464,1073,0,609,0.7984278288294632,0.5264259678723497,0.7984278288294632,0.7868926761233388
0.1499,reduced_pca_euclidean_4_t48-15B-sitemean_All,reduced_pca_euclidean_4_t48-15B-sitemean_All_label,20,609,464,1073,0,609,0.7984278288294632,0.5264259678723497,0.7984278288294632,0.7868926761233388
0.1504,reduced_umap_euclidean_4_t36-3B-attentionmean_All,reduced_umap_euclidean_4_t36-3B-attentionmean_All_label,13,1073,0,1073,0,1073,0.7529453229446327,0.6196060942131636,0.7529453229446326,0.7445063148981472
0.1509,reduced_t-sne_cosine_4_t48-15B-bos_All,reduced_t-sne_cosine_4_t48-15B-bos_All_label,19,1011,62,1073,0,1011,0.7585684868166979,0.6645599204237499,0.7585684868166979,0.746995122593769
0.1518,reduced_mds_cosine_4_t48-15B-attentionmean_All,reduced_mds_cosine_4_t48-15B-attentionmean_All_label,21,598,475,1073,0,598,0.7995358048400242,0.5568118799053735,0.7995358048400242,0.7859031398941161
0.1518,reduced_mds_euclidean_4_t48-15B-attentionmean_All,reduced_mds_euclidean_4_t48-15B-attentionmean_All_label,21,598,475,1073,0,598,0.7995358048400242,0.5568118799053735,0.7995358048400242,0.7859031398941161
0.1521,t36-3B-sitemean_All,t36-3B-sitemean_All_label,23,632,441,1073,0,632,0.7957810960452406,0.5394952138150328,0.7957810960452406,0.7834306579730422
0.1523,reduced_umap_euclidean_2_t48-15B-attentionmean_All,reduced_umap_euclidean_2_t48-15B-attentionmean_All_label,22,1067,6,1073,0,1067,0.7787786796646711,0.5046184219196455,0.7787786796646711,0.7678341471143947
0.1526,reduced_umap_euclidean_2_t36-3B-mean_All,reduced_umap_euclidean_2_t36-3B-mean_All_label,14,1059,14,1073,0,1059,0.7571179034193426,0.5315916353594798,0.7571179034193426,0.7485256363388987
0.153,t33-650M-mean_All,t33-650M-mean_All_label,21,560,513,1073,0,560,0.7983223713013702,0.5260646282630459,0.7983223713013702,0.7861769654414443
0.1534,reduced_umap_euclidean_10_t33-650M-sitemean_All,reduced_umap_euclidean_10_t33-650M-sitemean_All_label,17,1066,7,1073,0,1066,0.7628189066464829,0.5899524923033495,0.7628189066464828,0.7529913196840469
0.1537,reduced_mds_cosine_4_t33-650M-sitemean_All,reduced_mds_cosine_4_t33-650M-sitemean_All_label,21,598,475,1073,0,598,0.7935457448732526,0.519281813480812,0.7935457448732524,0.7819522843194746
0.1537,reduced_mds_euclidean_4_t33-650M-sitemean_All,reduced_mds_euclidean_4_t33-650M-sitemean_All_label,21,598,475,1073,0,598,0.7935457448732526,0.519281813480812,0.7935457448732524,0.7819522843194746
0.1537,reduced_t-sne_euclidean_10_t33-650M-attentionmean_All,reduced_t-sne_euclidean_10_t33-650M-attentionmean_All_label,21,884,189,1073,0,884,0.7728297499574044,0.5638332705555542,0.7728297499574045,0.7614467870605995
0.1538,reduced_t-sne_euclidean_8_t33-650M-attentionmean_All,reduced_t-sne_euclidean_8_t33-650M-attentionmean_All_label,21,882,191,1073,0,882,0.7725415366764907,0.5648218419043577,0.7725415366764907,0.7611040023628778
0.1542,reduced_t-sne_euclidean_8_t33-650M-mean_All,reduced_t-sne_euclidean_8_t33-650M-mean_All_label,22,917,156,1073,0,917,0.7702074419017207,0.5936199963381767,0.7702074419017207,0.7583356624127491
0.1545,reduced_mds_cosine_6_t48-15B-mean_All,reduced_mds_cosine_6_t48-15B-mean_All_label,19,563,510,1073,0,563,0.7847055434049199,0.5567576404678182,0.7847055434049199,0.774122395075272
0.1545,reduced_mds_euclidean_6_t48-15B-mean_All,reduced_mds_euclidean_6_t48-15B-mean_All_label,19,563,510,1073,0,563,0.7847055434049199,0.5567576404678182,0.7847055434049199,0.774122395075272
0.1549,reduced_umap_cosine_6_protbert,reduced_umap_cosine_6_protbert_label,19,1073,0,1073,0,1073,0.76647610764706,0.5154939077038787,0.76647610764706,0.7560849385672762
0.1549,reduced_umap_cosine_2_t48-15B-attentionmean_All,reduced_umap_cosine_2_t48-15B-attentionmean_All_label,22,1073,0,1073,0,1073,0.7751316018175343,0.4833804500686018,0.7751316018175343,0.7640901880922577
0.155,reduced_umap_cosine_4_t36-3B-sitemean_All,reduced_umap_cosine_4_t36-3B-sitemean_All_label,14,1073,0,1073,0,1073,0.7515486108597569,0.5983973634224823,0.751548610859757,0.7426140014212597
0.1552,reduced_t-sne_euclidean_10_t36-3B-sitemean_All,reduced_t-sne_euclidean_10_t36-3B-sitemean_All_label,20,952,121,1073,0,952,0.7598861178199012,0.57354103302659,0.7598861178199011,0.7493781037333934
0.1557,reduced_pca_euclidean_8_t48-15B-attentionmean_All,reduced_pca_euclidean_8_t48-15B-attentionmean_All_label,21,550,523,1073,0,550,0.7985769458230694,0.5355548453038945,0.7985769458230694,0.7842117687328812
0.1557,reduced_pca_cosine_8_t48-15B-attentionmean_All,reduced_pca_cosine_8_t48-15B-attentionmean_All_label,21,550,523,1073,0,550,0.7985769458230694,0.5355548453038945,0.7985769458230694,0.7842117687328812
0.1557,reduced_t-sne_euclidean_10_t36-3B-bos_All,reduced_t-sne_euclidean_10_t36-3B-bos_All_label,15,1029,44,1073,0,1029,0.7420375971715275,0.7027966144249518,0.7420375971715275,0.7323151159271764
0.1557,reduced_t-sne_euclidean_8_t36-3B-sitemean_All,reduced_t-sne_euclidean_8_t36-3B-sitemean_All_label,20,953,120,1073,0,953,0.7589353500821251,0.5725870848329297,0.7589353500821252,0.7483851195626079
0.156,reduced_t-sne_euclidean_8_t36-3B-bos_All,reduced_t-sne_euclidean_8_t36-3B-bos_All_label,15,1015,58,1073,0,1015,0.7415345739323005,0.7011993766136945,0.7415345739323005,0.7319314554778605
0.1565,reduced_pca_euclidean_8_t33-650M-mean_All,reduced_pca_euclidean_8_t33-650M-mean_All_label,21,540,533,1073,0,540,0.7958210540204279,0.5247766808570947,0.795821054020428,0.7831242690232202
0.1565,reduced_pca_cosine_8_t33-650M-mean_All,reduced_pca_cosine_8_t33-650M-mean_All_label,21,540,533,1073,0,540,0.7958210540204279,0.5247766808570947,0.795821054020428,0.7831242690232202
0.1566,reduced_t-sne_cosine_10_t33-650M-attentionmean_All,reduced_t-sne_cosine_10_t33-650M-attentionmean_All_label,17,949,124,1073,0,949,0.7546761202825394,0.5257218387837077,0.7546761202825394,0.7449876403167657
0.1569,reduced_t-sne_cosine_8_t33-650M-attentionmean_All,reduced_t-sne_cosine_8_t33-650M-attentionmean_All_label,20,941,132,1073,0,941,0.7680736912082742,0.523901551178344,0.7680736912082743,0.7577287172349004
0.157,reduced_t-sne_cosine_6_t36-3B-mean_All,reduced_t-sne_cosine_6_t36-3B-mean_All_label,12,975,98,1073,0,975,0.7307253781830676,0.5801766583828661,0.7307253781830676,0.722734184223467
