normalized_vi,method,predicted_clusters_column,n_predicted_clusters,n_predicted_cluster_samples,n_ignored_predicted_clusters,n_true_cluster_samples,n_ignored_true_clusters,n_vi_cluster_samples,normalized_mutual_info_score,adjusted_rand_score,homogeneity_completeness_v_measure,adjusted_mutual_info_score
0.0919,reduced_mds_cosine_10_t48-15B-sitemean_All,reduced_mds_cosine_10_t48-15B-sitemean_All_label,16,731,342,1073,0,731,0.8624029595550753,0.7360181295021225,0.8624029595550753,0.8562689593712616
0.0919,reduced_mds_euclidean_10_t48-15B-sitemean_All,reduced_mds_euclidean_10_t48-15B-sitemean_All_label,16,731,342,1073,0,731,0.8624029595550753,0.7360181295021225,0.8624029595550753,0.8562689593712616
0.093,reduced_t-sne_cosine_4_CARP,reduced_t-sne_cosine_4_CARP_label,4,1069,4,1073,0,1069,0.8007262382463636,0.6850899937479549,0.8007262382463636,0.7979174338701845
0.093,reduced_t-sne_cosine_8_CARP,reduced_t-sne_cosine_8_CARP_label,4,1069,4,1073,0,1069,0.8007262382463636,0.6850899937479549,0.8007262382463636,0.7979174338701845
0.0937,reduced_t-sne_cosine_2_t33-650M-sitemean_All,reduced_t-sne_cosine_2_t33-650M-sitemean_All_label,5,1072,1,1073,0,1072,0.8105712864762615,0.7663276578649766,0.8105712864762615,0.8073763036672232
0.0942,reduced_t-sne_euclidean_1_t33-650M-mean_All,reduced_t-sne_euclidean_1_t33-650M-mean_All_label,10,1053,20,1073,0,1053,0.8303074760867828,0.7833480149207273,0.8303074760867829,0.8254442262220141
0.0959,reduced_umap_cosine_10_t48-15B-attentionmean_All,reduced_umap_cosine_10_t48-15B-attentionmean_All_label,14,1066,7,1073,0,1066,0.8452995875189766,0.6974411719851439,0.8452995875189764,0.8396935508329059
0.0968,reduced_mds_euclidean_10_t36-3B-attentionmean_All,reduced_mds_euclidean_10_t36-3B-attentionmean_All_label,13,545,528,1073,0,545,0.8567980789510357,0.7129809297908003,0.8567980789510355,0.851507460829186
0.0968,reduced_mds_cosine_10_t36-3B-attentionmean_All,reduced_mds_cosine_10_t36-3B-attentionmean_All_label,13,545,528,1073,0,545,0.8567980789510357,0.7129809297908003,0.8567980789510355,0.851507460829186
0.0973,reduced_t-sne_cosine_1_t48-15B-sitemean_All,reduced_t-sne_cosine_1_t48-15B-sitemean_All_label,4,1070,3,1073,0,1070,0.7908652627917934,0.6755734436171462,0.7908652627917934,0.7879180474800445
0.0997,reduced_t-sne_cosine_4_prot5,reduced_t-sne_cosine_4_prot5_label,14,1054,19,1073,0,1054,0.8364289790988044,0.6874933233911429,0.8364289790988043,0.8307133019433265
0.1,reduced_t-sne_cosine_1_t48-15B-attentionmean_All,reduced_t-sne_cosine_1_t48-15B-attentionmean_All_label,17,1053,20,1073,0,1053,0.840441547764576,0.7683887195956762,0.840441547764576,0.833816919099841
0.1004,reduced_umap_euclidean_10_t33-650M-mean_All,reduced_umap_euclidean_10_t33-650M-mean_All_label,12,1064,9,1073,0,1064,0.8283193449192404,0.7703549188996225,0.8283193449192405,0.8226880575832117
0.1007,reduced_t-sne_euclidean_1_t48-15B-bos_All,reduced_t-sne_euclidean_1_t48-15B-bos_All_label,12,1058,15,1073,0,1058,0.8252892138227655,0.8048923147812527,0.8252892138227654,0.8197124670453272
0.1014,reduced_umap_cosine_8_t36-3B-mean_All,reduced_umap_cosine_8_t36-3B-mean_All_label,10,1073,0,1073,0,1073,0.8223487558136146,0.8034928697552418,0.8223487558136147,0.8172816506117119
0.1014,reduced_t-sne_euclidean_4_CARP,reduced_t-sne_euclidean_4_CARP_label,5,1068,5,1073,0,1068,0.7866539753279755,0.6651438897366823,0.7866539753279757,0.7830778550472978
0.1014,reduced_t-sne_cosine_6_CARP,reduced_t-sne_cosine_6_CARP_label,5,1068,5,1073,0,1068,0.7865337543686445,0.6653917008606551,0.7865337543686446,0.7829546163991411
0.1016,reduced_t-sne_euclidean_1_t33-650M-sitemean_All,reduced_t-sne_euclidean_1_t33-650M-sitemean_All_label,8,1065,8,1073,0,1065,0.8166757826015763,0.8145026737350615,0.8166757826015763,0.8122051356502487
0.1018,reduced_umap_euclidean_4_t36-3B-sitemean_All,reduced_umap_euclidean_4_t36-3B-sitemean_All_label,11,1073,0,1073,0,1073,0.8209091516425924,0.8077949563739877,0.8209091516425924,0.8154552493795235
0.1026,reduced_t-sne_euclidean_2_t33-650M-sitemean_All,reduced_t-sne_euclidean_2_t33-650M-sitemean_All_label,10,1065,8,1073,0,1065,0.8199233535707032,0.8115773726452826,0.8199233535707032,0.8147582744027756
0.1027,reduced_umap_cosine_4_t48-15B-attentionmean_All,reduced_umap_cosine_4_t48-15B-attentionmean_All_label,14,1073,0,1073,0,1073,0.8340133223972009,0.6870696545706082,0.8340133223972008,0.8280408288186052
0.1029,reduced_t-sne_cosine_2_CARP,reduced_t-sne_cosine_2_CARP_label,12,1059,14,1073,0,1059,0.8280837660861978,0.7450902334570375,0.8280837660861977,0.8224443718675821
0.1031,reduced_t-sne_euclidean_1_t48-15B-sitemean_All,reduced_t-sne_euclidean_1_t48-15B-sitemean_All_label,16,1038,35,1073,0,1038,0.8331011355270159,0.7941365206072198,0.8331011355270159,0.8261702422707985
0.1032,reduced_umap_cosine_4_t48-15B-mean_All,reduced_umap_cosine_4_t48-15B-mean_All_label,15,1073,0,1073,0,1073,0.8341372031348516,0.6672424198739229,0.8341372031348515,0.8278785845671697
0.1036,reduced_umap_cosine_8_t36-3B-attentionmean_All,reduced_umap_cosine_8_t36-3B-attentionmean_All_label,10,1073,0,1073,0,1073,0.8180578320773723,0.8076851635690396,0.8180578320773723,0.8128690280446788
0.1038,reduced_t-sne_cosine_2_prot5,reduced_t-sne_cosine_2_prot5_label,8,1068,5,1073,0,1068,0.8133109337317419,0.6666673444604102,0.813310933731742,0.8087922989523758
0.1039,reduced_umap_euclidean_6_t48-15B-sitemean_All,reduced_umap_euclidean_6_t48-15B-sitemean_All_label,12,1073,0,1073,0,1073,0.8294819544495405,0.7162664078788166,0.8294819544495405,0.8239805057331094
0.1042,reduced_t-sne_euclidean_1_t48-15B-attentionmean_All,reduced_t-sne_euclidean_1_t48-15B-attentionmean_All_label,19,1045,28,1073,0,1045,0.8348224238373929,0.7763341625865341,0.834822423837393,0.8273738279617115
0.1042,reduced_umap_cosine_10_t48-15B-mean_All,reduced_umap_cosine_10_t48-15B-mean_All_label,13,1064,9,1073,0,1064,0.828987346571014,0.676474852244684,0.828987346571014,0.8230998656333309
0.1051,reduced_umap_cosine_10_t36-3B-attentionmean_All,reduced_umap_cosine_10_t36-3B-attentionmean_All_label,9,1073,0,1073,0,1073,0.8073848809606774,0.7662753804714452,0.8073848809606775,0.8022850487726252
