normalized_vi,method,predicted_clusters_column,n_predicted_clusters,n_predicted_cluster_samples,n_ignored_predicted_clusters,n_true_cluster_samples,n_ignored_true_clusters,n_vi_cluster_samples,normalized_mutual_info_score,adjusted_rand_score,homogeneity_completeness_v_measure,adjusted_mutual_info_score
0.054,t-sne,t-sne_label,10,1517,6,1523,0,1517,0.9057818111771422,0.8620530351435857,0.9057818111771424,0.9043654462871032
0.0865,umap,umap_label,7,1522,1,1523,0,1522,0.8427506648473336,0.7069760599043596,0.8427506648473335,0.8411396484156636
0.0907,pca,pca_label,6,1488,35,1523,0,1488,0.8215278292909138,0.683808358489587,0.8215278292909138,0.8198367800729678
0.0969,mds,mds_label,9,1447,76,1523,0,1447,0.8135696814101955,0.6607252302914857,0.8135696814101956,0.8107922833393049
0.1267,genetic,genetic_label,16,1392,131,1523,0,1392,0.7768234474734174,0.6598042877627308,0.7768234474734175,0.7709830505085521
0.1363,reduced_t-sne_euclidean_2_CARP,reduced_t-sne_euclidean_2_CARP_label,12,1514,9,1523,0,1514,0.7718226209795312,0.6194597942327696,0.7718226209795312,0.767756818785668
0.1388,reduced_t-sne_euclidean_2_protbert,reduced_t-sne_euclidean_2_protbert_label,7,1517,6,1523,0,1517,0.7162366906479364,0.4681374713933,0.7162366906479364,0.7129280041836249
0.1471,reduced_t-sne_cosine_2_t36-3B-attentionmean_All,reduced_t-sne_cosine_2_t36-3B-attentionmean_All_label,15,1517,6,1523,0,1517,0.7622527320963144,0.6608773282619208,0.7622527320963144,0.7570080045588823
0.1513,reduced_t-sne_cosine_2_t36-3B-mean_All,reduced_t-sne_cosine_2_t36-3B-mean_All_label,13,1517,6,1523,0,1517,0.7493121630918625,0.6387604037339563,0.7493121630918624,0.7444822941454524
0.179,reduced_t-sne_cosine_2_t33-650M-mean_All,reduced_t-sne_cosine_2_t33-650M-mean_All_label,13,1517,6,1523,0,1517,0.7029228660502583,0.5263601926161096,0.7029228660502583,0.697196070024779
0.181,reduced_mds_cosine_8_t36-3B-sitemean_All,reduced_mds_cosine_8_t36-3B-sitemean_All_label,31,1019,504,1523,0,1019,0.7642356865282682,0.5396431469500539,0.7642356865282683,0.7504296118711354
0.1848,reduced_t-sne_cosine_2_t33-650M-sitemean_All,reduced_t-sne_cosine_2_t33-650M-sitemean_All_label,4,1521,2,1523,0,1521,0.5712924555818891,0.3301075679501041,0.571292455581889,0.5684839990173792
0.1854,reduced_t-sne_cosine_2_t33-650M-attentionmean_All,reduced_t-sne_cosine_2_t33-650M-attentionmean_All_label,10,1522,1,1523,0,1522,0.671418745395271,0.46143386892794,0.6714187453952709,0.6664025549100079
0.1908,reduced_t-sne_euclidean_2_prot5,reduced_t-sne_euclidean_2_prot5_label,8,1518,5,1523,0,1518,0.6115494581057493,0.3375100216465875,0.6115494581057492,0.6062142222111528
0.2485,reduced_t-sne_cosine_2_t36-3B-bos_All,reduced_t-sne_cosine_2_t36-3B-bos_All_label,13,1519,4,1523,0,1519,0.541500057470787,0.3216949534695139,0.5415000574707869,0.5316297277554853
0.2677,reduced_t-sne_euclidean_2_t33-650M-bos_All,reduced_t-sne_euclidean_2_t33-650M-bos_All_label,7,1518,5,1523,0,1518,0.3556248734840452,0.1100965159554085,0.3556248734840453,0.3466145243263882
